,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
0,Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),3.9,2.8,2.3,4.1,38,female,early middle age
1,Sometimes true (3),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),3.8,1.6,1.4,2.8,26,male,early adulthood
2,Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),5.0,5.0,4.3,3.8,53,female,late middle age
3,Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.5,3.0,2.1,3.0,56,male,late middle age
4,Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.7,4.0,2.0,2.9,18,male,adolescence
5,Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),3.2,1.9,2.7,2.2,34,male,early adulthood
6,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),3.9,3.9,4.3,4.0,70,female,late adulthood
7,Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),3.0,3.1,2.9,2.8,24,female,early adulthood
8,Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.6,3.5,3.8,3.4,31,male,early adulthood
9,Often true (4),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Sometimes true (3),Rarely true (2),,Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),,Sometimes true (3),Rarely true (2),,Never or very rarely true (1),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),3.1,1.8,1.9,2.4,43,male,early middle age
